date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:01:35	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://smartethermining.github.io/robots.txt		(from )
20:01:35	6745/6745	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Jul%202018%2020:16:37%20GMT	https://smartethermining.github.io/	C:/My%20Web%20Sites/SMEM/smartethermining.github.io/index.html	(from )
20:01:35	189843/189843	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Jul%202018%2020:16:37%20GMT	https://smartethermining.github.io/miner.png	C:/My%20Web%20Sites/SMEM/smartethermining.github.io/miner.png	(from https://smartethermining.github.io/)
20:01:35	121212/121212	---M-Z	200	added ('OK')	text/css	date:Mon,%2002%20Jul%202018%2020:16:37%20GMT	https://smartethermining.github.io/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/SMEM/smartethermining.github.io/dist/css/bootstrap.min.css	(from https://smartethermining.github.io/)
20:01:35	433/433	---M-Z	200	added ('OK')	text/css	date:Mon,%2002%20Jul%202018%2020:16:37%20GMT	https://smartethermining.github.io/assets/css/ie10-viewport-bug-workaround.css	C:/My%20Web%20Sites/SMEM/smartethermining.github.io/assets/css/ie10-viewport-bug-workaround.css	(from https://smartethermining.github.io/)
20:01:35	1411/1411	---M-Z	200	added ('OK')	text/css	date:Mon,%2002%20Jul%202018%2020:16:37%20GMT	https://smartethermining.github.io/jumbotron-narrow.css	C:/My%20Web%20Sites/SMEM/smartethermining.github.io/jumbotron-narrow.css	(from https://smartethermining.github.io/)
20:01:36	951/951	---M-Z	200	added ('OK')	text/css	date:Mon,%2002%20Jul%202018%2020:16:37%20GMT	https://smartethermining.github.io/custom.css	C:/My%20Web%20Sites/SMEM/smartethermining.github.io/custom.css	(from https://smartethermining.github.io/)
20:01:36	2130/2130	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2002%20Jul%202018%2020:16:37%20GMT	https://smartethermining.github.io/assets/js/ie-emulation-modes-warning.js	C:/My%20Web%20Sites/SMEM/smartethermining.github.io/assets/js/ie-emulation-modes-warning.js	(from https://smartethermining.github.io/)
20:01:36	86927/86927	---MC-	200	added ('OK')	text/javascript	date:Thu,%2025%20Jan%202018%2015:33:24%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/My%20Web%20Sites/SMEM/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://smartethermining.github.io/)
20:01:37	37045/37045	---M-Z	200	added ('OK')	application/javascript	etag:%221519106283%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	C:/My%20Web%20Sites/SMEM/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	(from https://smartethermining.github.io/)
20:01:37	16384/16384	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2002%20Jul%202018%2020:16:37%20GMT	https://smartethermining.github.io/interface.js	C:/My%20Web%20Sites/SMEM/smartethermining.github.io/interface.js	(from https://smartethermining.github.io/)
20:01:37	62/62	---M--	302	error ('Found')	text/plain	date:Tue,%2031%20Jul%202018%2003:01:37%20GMT	https://unpkg.com/sweetalert/dist/sweetalert.min.js	C:/My%20Web%20Sites/SMEM/unpkg.com/sweetalert/dist/sweetalert.min.9.delayed	(from https://smartethermining.github.io/)
20:01:37	40802/40802	---MCZ	200	added ('OK')	application/javascript	etag:W/%229f62-160554046e0%22	https://unpkg.com/sweetalert@2.1.0/dist/sweetalert.min.js	C:/My%20Web%20Sites/SMEM/unpkg.com/sweetalert@2.1.0/dist/sweetalert.min.js	(from https://smartethermining.github.io/)
20:01:38	4339/4339	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2002%20Jul%202018%2020:16:37%20GMT	https://smartethermining.github.io/main.js	C:/My%20Web%20Sites/SMEM/smartethermining.github.io/main.js	(from https://smartethermining.github.io/)
20:01:38	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2002%20Jul%202018%2020:16:37%20GMT	https://smartethermining.github.io/dist/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/SMEM/smartethermining.github.io/dist/fonts/glyphicons-halflings-regular.eot	(from https://smartethermining.github.io/dist/css/bootstrap.min.css)
20:01:38	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2002%20Jul%202018%2020:16:37%20GMT	https://smartethermining.github.io/dist/fonts/glyphicons-halflings-regular-.eot	C:/My%20Web%20Sites/SMEM/smartethermining.github.io/dist/fonts/glyphicons-halflings-regular-.eot	(from https://smartethermining.github.io/dist/css/bootstrap.min.css)
20:01:38	18028/18028	---M--	200	added ('OK')	font/woff2	date:Mon,%2002%20Jul%202018%2020:16:37%20GMT	https://smartethermining.github.io/dist/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/SMEM/smartethermining.github.io/dist/fonts/glyphicons-halflings-regular.woff2	(from https://smartethermining.github.io/dist/css/bootstrap.min.css)
20:01:39	23424/23424	---M--	200	added ('OK')	font/woff	date:Mon,%2002%20Jul%202018%2020:16:37%20GMT	https://smartethermining.github.io/dist/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/SMEM/smartethermining.github.io/dist/fonts/glyphicons-halflings-regular.woff	(from https://smartethermining.github.io/dist/css/bootstrap.min.css)
20:01:39	45404/45404	---M--	200	added ('OK')	font/ttf	date:Mon,%2002%20Jul%202018%2020:16:37%20GMT	https://smartethermining.github.io/dist/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/SMEM/smartethermining.github.io/dist/fonts/glyphicons-halflings-regular.ttf	(from https://smartethermining.github.io/dist/css/bootstrap.min.css)
20:01:39	108738/108738	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2002%20Jul%202018%2020:16:37%20GMT	https://smartethermining.github.io/dist/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/SMEM/smartethermining.github.io/dist/fonts/glyphicons-halflings-regular.svg	(from https://smartethermining.github.io/dist/css/bootstrap.min.css)
